ID,cb_person_cred_hist_length,credit_score,loan_int_rate,loan_intent,loan_percent_income,person_education,person_emp_exp,person_gender,person_home_ownership,person_income,loan_status
3265,4,622,11.02,DEBTCONSOLIDATION,0.29,Bachelor,0,female,RENT,65545,1
3266,2,694,8.49,HOMEIMPROVEMENT,0.05,Bachelor,5,female,MORTGAGE,85087,0
3267,2,579,17.27,DEBTCONSOLIDATION,0.14,Bachelor,0,female,MORTGAGE,25869,1
3268,2,621,10.38,MEDICAL,0.08,Associate,1,male,RENT,58895,0
3269,7,596,6.91,EDUCATION,0.22,Associate,8,male,MORTGAGE,92495,0
3270,4,667,8.22,VENTURE,0.24,Associate,3,female,RENT,51054,0
3271,3,652,8.18,EDUCATION,0.15,Associate,0,male,RENT,33559,0
3272,4,693,6.17,EDUCATION,0.02,Master,1,male,MORTGAGE,205111,0
3273,5,685,8.94,VENTURE,0.23,Bachelor,1,female,RENT,52799,0
3274,9,675,15.38,MEDICAL,0.15,Bachelor,7,female,MORTGAGE,55086,0
3275,11,656,14.5,HOMEIMPROVEMENT,0.17,High School,11,female,RENT,90573,0
3276,8,613,11.12,DEBTCONSOLIDATION,0.09,Bachelor,10,male,RENT,109180,0
3277,2,653,11.14,MEDICAL,0.27,Bachelor,0,female,RENT,37083,1
3278,4,636,14.33,VENTURE,0.33,High School,1,male,RENT,72647,1
3279,3,617,9.21,VENTURE,0.04,High School,0,male,MORTGAGE,95988,0
3280,9,658,5.42,MEDICAL,0.07,Master,9,male,MORTGAGE,117508,0
3281,3,616,12.42,MEDICAL,0.12,Master,4,female,MORTGAGE,109161,0
3282,3,651,12.53,PERSONAL,0.13,Bachelor,6,male,RENT,39103,0
3283,9,631,8,DEBTCONSOLIDATION,0.14,Associate,9,female,MORTGAGE,54601,0
3284,4,592,11.01,MEDICAL,0.03,Master,6,male,RENT,86137,0
3285,2,600,12.87,MEDICAL,0.05,High School,1,female,MORTGAGE,129242,0
3286,9,684,8.9,MEDICAL,0.19,Bachelor,10,male,MORTGAGE,145277,0
3287,5,650,9.91,DEBTCONSOLIDATION,0.05,Bachelor,4,female,RENT,67134,0
3288,11,657,6.62,PERSONAL,0.14,Bachelor,15,male,MORTGAGE,85714,0
3289,11,645,14.19,MEDICAL,0.09,Master,7,female,MORTGAGE,217014,0
3290,2,653,18.25,EDUCATION,0.15,Associate,6,female,RENT,54855,0
3291,5,632,7.49,MEDICAL,0.16,Master,6,female,RENT,67072,0
3292,3,657,10.95,VENTURE,0.17,Bachelor,0,male,MORTGAGE,45399,0
3293,8,567,9.51,DEBTCONSOLIDATION,0.06,Bachelor,10,male,RENT,48952,0
3294,3,622,10.2,PERSONAL,0.08,High School,0,male,RENT,38994,0
3295,4,672,17.99,PERSONAL,0.1,Bachelor,0,female,RENT,48030,1
3296,10,726,11.99,MEDICAL,0.06,Master,5,male,RENT,67038,0
3297,6,601,15.33,DEBTCONSOLIDATION,0.26,Bachelor,10,male,MORTGAGE,94459,1
3298,3,634,8.94,VENTURE,0.13,High School,0,male,MORTGAGE,55161,0
3299,10,668,14.04,PERSONAL,0.21,Associate,5,male,RENT,36889,0
3300,6,574,11.49,EDUCATION,0.28,High School,3,female,MORTGAGE,89446,0
3301,8,632,12.81,HOMEIMPROVEMENT,0.08,Master,5,male,RENT,56312,1
3302,5,564,12.42,EDUCATION,0.07,Associate,6,male,RENT,46315,0
3303,9,631,11.36,DEBTCONSOLIDATION,0,Master,9,male,RENT,605611,0
3304,3,661,10.75,EDUCATION,0.26,Bachelor,0,female,RENT,46631,1
3305,2,675,12.53,PERSONAL,0.13,Associate,2,female,MORTGAGE,73080,0
3306,5,686,10.37,VENTURE,0.06,High School,8,female,MORTGAGE,58816,0
3307,2,647,15.31,MEDICAL,0.24,Bachelor,0,male,OWN,22786,1
3308,3,512,11.36,HOMEIMPROVEMENT,0.17,High School,2,male,RENT,48041,1
3309,10,650,11.36,MEDICAL,0.09,Associate,12,male,RENT,54802,1
3310,6,551,15.62,EDUCATION,0.04,Bachelor,10,male,RENT,51255,1
3311,4,655,9.76,DEBTCONSOLIDATION,0.1,High School,2,male,MORTGAGE,73130,0
3312,10,553,10.46,DEBTCONSOLIDATION,0.07,High School,8,female,RENT,90691,0
3313,5,588,13.49,MEDICAL,0.16,High School,6,female,RENT,77128,0
3314,7,631,9.25,HOMEIMPROVEMENT,0.01,Bachelor,8,male,MORTGAGE,89657,0
3315,4,602,10.71,EDUCATION,0.06,Master,0,male,MORTGAGE,79303,0
3316,2,611,6.62,HOMEIMPROVEMENT,0.21,High School,3,male,RENT,67131,0
3317,4,696,11.01,PERSONAL,0.1,Bachelor,0,male,RENT,51315,1
3318,3,653,5.42,DEBTCONSOLIDATION,0.03,Associate,2,female,MORTGAGE,145205,0
3319,4,671,7.88,DEBTCONSOLIDATION,0.11,Bachelor,0,female,MORTGAGE,62189,0
3320,3,589,11.26,HOMEIMPROVEMENT,0.06,High School,1,female,RENT,204866,0
3321,3,543,9.3,MEDICAL,0.07,Associate,4,female,RENT,48148,1
3322,11,708,5.99,MEDICAL,0.05,Associate,24,female,MORTGAGE,217025,0
3323,7,699,10.65,DEBTCONSOLIDATION,0.13,Master,6,female,RENT,77969,0
3324,3,706,7.51,VENTURE,0.06,Master,0,female,MORTGAGE,127066,0
3325,6,618,10.99,DEBTCONSOLIDATION,0.17,Master,5,male,RENT,29406,1
3326,10,714,13.22,HOMEIMPROVEMENT,0.18,Master,11,male,RENT,109214,0
3327,4,658,11.49,EDUCATION,0.09,Master,0,male,RENT,34093,0
3328,17,684,6.54,MEDICAL,0.08,High School,16,male,RENT,104446,1
3329,2,627,12.69,VENTURE,0.43,Bachelor,0,male,OWN,52885,0
3330,6,722,15.23,VENTURE,0.29,Master,9,male,RENT,39511,1
3331,6,684,18.25,EDUCATION,0.22,High School,8,male,RENT,35756,1
3332,4,575,14.83,MEDICAL,0.13,Bachelor,2,male,MORTGAGE,75051,1
3333,2,628,11.01,DEBTCONSOLIDATION,0.16,High School,5,female,MORTGAGE,43068,0
3334,3,670,11.01,EDUCATION,0.31,Master,3,male,RENT,60979,1
3335,3,620,15.23,EDUCATION,0.08,High School,5,male,RENT,79102,0
3336,4,663,13.14,DEBTCONSOLIDATION,0.1,High School,0,male,RENT,78054,1
3337,8,638,15.23,EDUCATION,0.15,High School,8,male,MORTGAGE,66275,0
3338,3,565,7.03,EDUCATION,0.07,Bachelor,0,male,MORTGAGE,67377,0
3339,5,685,7.02,MEDICAL,0.1,Bachelor,7,female,RENT,62625,0
3340,9,693,7.9,PERSONAL,0.04,Associate,6,male,MORTGAGE,72004,1
3341,8,606,9.99,HOMEIMPROVEMENT,0.22,Master,13,female,RENT,80096,0
3342,5,641,11.59,PERSONAL,0.04,High School,4,female,MORTGAGE,134626,0
3343,5,708,12.93,MEDICAL,0.04,Bachelor,3,female,RENT,25153,0
3344,6,672,13.21,MEDICAL,0.08,Bachelor,6,male,RENT,34562,0
3345,9,648,15.33,MEDICAL,0.01,Bachelor,13,male,RENT,845636,1
3346,5,655,15.68,VENTURE,0.14,Bachelor,8,male,RENT,77788,1
3347,16,613,14.11,VENTURE,0.05,Master,19,male,MORTGAGE,120949,0
3348,14,698,11.12,MEDICAL,0.06,Associate,14,female,RENT,62333,0
3349,9,679,11.04,EDUCATION,0.27,High School,5,male,RENT,29771,1
3350,4,570,6.76,PERSONAL,0.1,Associate,3,male,MORTGAGE,87751,0
3351,2,638,11.01,MEDICAL,0.26,High School,2,male,MORTGAGE,96787,0
3352,2,630,9.32,PERSONAL,0.01,Associate,1,male,MORTGAGE,102796,0
3353,3,574,11.83,VENTURE,0.09,Master,3,female,OWN,91993,0
3354,7,637,7.29,PERSONAL,0.2,Master,5,male,RENT,36741,0
3355,3,607,11.05,PERSONAL,0.13,Bachelor,0,male,MORTGAGE,88477,0
3356,5,655,11.49,PERSONAL,0.14,Bachelor,6,male,MORTGAGE,70140,0
3357,2,588,13.72,PERSONAL,0.1,High School,1,male,RENT,103017,0
3358,3,664,12.84,VENTURE,0.09,High School,0,female,OWN,84671,0
3359,8,679,12.69,MEDICAL,0.12,Associate,8,female,RENT,48757,0
3360,10,653,11.01,PERSONAL,0.07,Bachelor,11,male,RENT,114903,0
3361,4,639,10.94,PERSONAL,0.07,High School,1,female,RENT,70497,0
3362,4,623,15.31,MEDICAL,0.17,Bachelor,4,female,RENT,145005,0
3363,4,574,7.01,PERSONAL,0.09,High School,0,female,MORTGAGE,78609,0
3364,4,550,11.01,VENTURE,0.07,Associate,0,female,MORTGAGE,112804,0
3365,3,630,13.61,MEDICAL,0.05,High School,4,male,RENT,61008,0
3366,3,624,10.33,EDUCATION,0.14,Associate,0,male,RENT,37004,0
3367,4,606,11.41,EDUCATION,0.06,High School,1,male,RENT,76666,0
3368,6,597,12.18,HOMEIMPROVEMENT,0.08,Associate,3,female,MORTGAGE,41103,0
3369,8,634,8.49,DEBTCONSOLIDATION,0.15,High School,7,male,MORTGAGE,40437,0
3370,9,620,9.99,DEBTCONSOLIDATION,0.06,Master,8,female,RENT,88692,0
3371,2,541,13.85,EDUCATION,0.2,Bachelor,2,male,OWN,44498,0
3372,4,668,11.51,MEDICAL,0.25,Bachelor,5,female,RENT,43954,1
3373,6,615,7.29,MEDICAL,0.05,Master,9,male,RENT,60733,0
3374,8,645,6.3,HOMEIMPROVEMENT,0.11,High School,10,male,MORTGAGE,111676,0
3375,3,619,14.27,DEBTCONSOLIDATION,0.05,Associate,0,female,MORTGAGE,114539,0
3376,5,545,9.99,DEBTCONSOLIDATION,0.09,Associate,7,female,MORTGAGE,70675,0
3377,11,656,14.84,PERSONAL,0.14,High School,12,female,MORTGAGE,144734,0
3378,9,648,12.57,VENTURE,0.14,Master,14,male,MORTGAGE,44251,0
3379,9,576,10.98,MEDICAL,0.25,Associate,7,female,RENT,59255,1
3380,4,603,10.81,VENTURE,0.34,Master,0,male,RENT,29794,1
3381,4,518,9.51,DEBTCONSOLIDATION,0.14,Associate,5,female,RENT,50099,0
3382,4,663,14.09,EDUCATION,0.06,Master,4,male,OWN,89648,0
3383,2,681,7.4,MEDICAL,0.07,Associate,3,male,RENT,61219,0
3384,7,545,15.23,DEBTCONSOLIDATION,0.49,Master,7,female,MORTGAGE,65952,1
3385,8,604,8.49,PERSONAL,0.14,High School,8,male,RENT,85089,0
3386,10,689,8.94,HOMEIMPROVEMENT,0.27,High School,9,male,RENT,37200,1
3387,3,511,15.69,PERSONAL,0.23,High School,0,male,RENT,41724,1
3388,3,613,7.49,VENTURE,0.03,Associate,0,male,RENT,37075,0
3389,3,647,15.23,DEBTCONSOLIDATION,0.16,High School,0,female,RENT,38203,0
3390,4,682,13.14,DEBTCONSOLIDATION,0.2,High School,3,male,RENT,50982,1
3391,2,683,9.63,EDUCATION,0.17,Associate,0,male,MORTGAGE,58493,0
3392,2,678,10.38,PERSONAL,0.08,High School,2,female,RENT,35638,0
3393,9,598,14.79,PERSONAL,0.06,Bachelor,9,male,RENT,170134,0
3394,17,630,9.91,HOMEIMPROVEMENT,0.1,Associate,16,male,RENT,132788,0
3395,6,566,14.96,VENTURE,0.07,High School,6,male,MORTGAGE,32102,0
3396,5,688,9.55,EDUCATION,0.01,High School,4,female,MORTGAGE,82378,0
3397,4,587,11.01,DEBTCONSOLIDATION,0.19,Bachelor,0,female,RENT,31450,0
3398,15,717,8,HOMEIMPROVEMENT,0.16,Bachelor,26,male,MORTGAGE,45358,0
3399,9,661,11.01,VENTURE,0.14,Associate,6,female,MORTGAGE,174856,0
3400,7,599,10.71,VENTURE,0.05,Bachelor,2,male,MORTGAGE,43857,0
3401,10,500,11.01,VENTURE,0.12,Bachelor,9,female,RENT,67230,0
3402,4,677,13.06,EDUCATION,0.06,Master,4,female,RENT,46942,0
3403,3,670,13.79,EDUCATION,0.3,Bachelor,5,female,OWN,26379,0
3404,3,660,15.37,PERSONAL,0.12,High School,4,male,OWN,34343,0
3405,10,557,6.62,VENTURE,0.16,Master,7,male,RENT,76667,0
3406,10,578,10.56,EDUCATION,0.15,Bachelor,3,female,RENT,68644,0
3407,4,637,7.61,EDUCATION,0.08,Master,2,male,MORTGAGE,144782,0
3408,3,598,15.27,PERSONAL,0.02,Associate,0,male,MORTGAGE,97266,0
3409,2,536,11.49,MEDICAL,0.19,Associate,2,female,RENT,82472,0
3410,3,560,14.72,DEBTCONSOLIDATION,0.13,High School,2,male,RENT,13445,1
3411,10,614,12.69,MEDICAL,0.09,Associate,14,female,MORTGAGE,106578,0
3412,2,608,11.71,DEBTCONSOLIDATION,0.21,Bachelor,0,female,RENT,48618,0
3413,8,543,16.95,EDUCATION,0.03,High School,8,male,MORTGAGE,271185,1
3414,5,657,11.01,HOMEIMPROVEMENT,0.08,Master,7,male,RENT,116706,0
3415,16,664,7.51,PERSONAL,0.04,High School,22,male,OWN,45076,0
3416,3,598,10.78,DEBTCONSOLIDATION,0.11,High School,0,male,MORTGAGE,92236,0
3417,7,587,13.67,PERSONAL,0.32,Bachelor,5,female,MORTGAGE,44178,0
3418,2,690,6.91,MEDICAL,0.15,Master,3,male,MORTGAGE,136654,0
3419,3,553,10.25,DEBTCONSOLIDATION,0.14,Master,0,female,MORTGAGE,177663,0
3420,4,665,9.7,PERSONAL,0.12,Bachelor,1,male,RENT,71472,0
3421,4,678,11.83,MEDICAL,0.07,Bachelor,2,female,MORTGAGE,185611,0
3422,2,576,7.29,EDUCATION,0.02,Master,1,male,RENT,58876,0
3423,4,683,9.32,EDUCATION,0.05,Master,3,male,MORTGAGE,87262,0
3424,2,621,11.14,VENTURE,0.11,High School,4,male,RENT,43184,0
3425,10,665,11.36,EDUCATION,0.1,High School,10,female,RENT,55185,0
3426,2,697,11.89,HOMEIMPROVEMENT,0.07,Master,1,male,RENT,29127,1
3427,11,743,11.01,MEDICAL,0.11,Master,24,female,MORTGAGE,87161,0
3428,3,678,14.27,DEBTCONSOLIDATION,0.37,Bachelor,2,male,RENT,22670,1
3429,3,644,8.3,DEBTCONSOLIDATION,0.06,High School,0,female,RENT,92321,0
3430,6,601,11.01,DEBTCONSOLIDATION,0.19,High School,7,female,MORTGAGE,127153,0
3431,4,640,5.42,VENTURE,0.07,High School,2,female,RENT,51411,0
3432,3,555,10.96,EDUCATION,0.15,Associate,0,male,MORTGAGE,79222,0
3433,3,653,13.11,VENTURE,0.12,High School,2,male,RENT,66759,0
3434,15,661,12.64,PERSONAL,0.06,High School,19,male,RENT,90757,0
3435,4,477,13.61,MEDICAL,0.02,High School,4,male,RENT,55118,0
3436,2,618,17.27,PERSONAL,0.06,Bachelor,4,male,RENT,49050,1
3437,3,586,13.12,MEDICAL,0.35,Associate,0,female,RENT,43995,1
3438,3,571,15.28,EDUCATION,0.1,High School,2,female,MORTGAGE,133333,0
3439,2,706,11.58,HOMEIMPROVEMENT,0.06,Associate,5,female,MORTGAGE,154516,1
3440,2,655,13.35,PERSONAL,0.18,Bachelor,6,male,RENT,91043,0
3441,9,652,12.04,HOMEIMPROVEMENT,0.15,High School,7,female,MORTGAGE,97103,0
3442,4,560,8.49,PERSONAL,0.1,Bachelor,1,male,RENT,96964,0
3443,2,652,7.51,PERSONAL,0.18,High School,0,male,MORTGAGE,55080,0
3444,9,629,11.49,PERSONAL,0.09,High School,13,male,MORTGAGE,118672,0
3445,3,635,9.31,EDUCATION,0.11,Associate,0,male,RENT,45381,0
3446,2,693,13.74,EDUCATION,0.1,Bachelor,1,female,MORTGAGE,262563,0
3447,7,567,13.94,PERSONAL,0.15,Bachelor,6,male,RENT,47781,1
3448,3,620,14.84,EDUCATION,0.11,High School,1,male,MORTGAGE,87324,0
3449,16,537,5.79,DEBTCONSOLIDATION,0.07,Bachelor,19,male,RENT,85268,0
3450,2,673,11.58,DEBTCONSOLIDATION,0.12,Associate,3,male,MORTGAGE,123617,0
3451,6,617,8.59,VENTURE,0.08,Bachelor,5,female,RENT,43036,0
3452,3,635,7.88,EDUCATION,0.17,Bachelor,0,female,MORTGAGE,115708,0
3453,4,565,5.79,DEBTCONSOLIDATION,0.16,High School,2,female,MORTGAGE,38466,0
3454,3,506,11.01,VENTURE,0.18,High School,0,female,OWN,28348,0
3455,3,567,11.01,PERSONAL,0.11,Bachelor,2,female,RENT,54619,0
3456,3,602,11.89,EDUCATION,0.09,High School,0,female,RENT,50707,0
3457,2,575,11.01,MEDICAL,0.12,Bachelor,4,male,OWN,85145,0
3458,11,631,7.51,VENTURE,0.27,Master,17,female,OWN,31302,0
3459,3,706,11.35,VENTURE,0.11,Master,2,male,RENT,61011,0
3460,11,606,16.45,EDUCATION,0.11,High School,17,male,RENT,61889,0
3461,4,575,11.83,EDUCATION,0.17,Bachelor,0,female,RENT,118565,0
3462,4,680,7.9,DEBTCONSOLIDATION,0.16,Associate,0,male,MORTGAGE,121841,0
3463,4,613,10.39,EDUCATION,0.1,Bachelor,0,male,RENT,74424,0
3464,5,676,7.74,HOMEIMPROVEMENT,0.04,Bachelor,10,male,MORTGAGE,145214,0
3465,9,630,8.65,MEDICAL,0.08,High School,8,male,RENT,39896,0
3466,7,502,7.71,MEDICAL,0.08,High School,9,male,MORTGAGE,65750,0
3467,3,599,11.01,VENTURE,0.05,High School,2,female,RENT,163071,0
3468,3,603,12.53,EDUCATION,0.15,Bachelor,0,male,MORTGAGE,54993,0
3469,9,635,11.01,MEDICAL,0.24,High School,5,male,RENT,63306,1
3470,2,600,6.76,PERSONAL,0.07,High School,3,male,MORTGAGE,124865,0
3471,7,601,7.14,EDUCATION,0.13,Bachelor,7,female,MORTGAGE,39745,0
3472,9,642,15.21,VENTURE,0.07,Master,0,female,RENT,91271,0
3473,6,614,13.7,HOMEIMPROVEMENT,0.12,Bachelor,1,male,MORTGAGE,123605,0
3474,8,645,7.88,VENTURE,0.13,Bachelor,11,female,OWN,82641,0
3475,3,648,13.22,EDUCATION,0.1,Master,2,male,RENT,100587,1
3476,6,589,14.09,HOMEIMPROVEMENT,0.28,Associate,5,female,MORTGAGE,78921,0
3477,9,631,7.9,MEDICAL,0.37,Bachelor,12,female,RENT,51173,1
3478,4,713,19.29,EDUCATION,0.1,Bachelor,2,female,RENT,26987,1
3479,16,649,11.01,EDUCATION,0.11,Associate,23,female,RENT,109015,0
3480,13,679,11.49,VENTURE,0.02,Bachelor,25,male,OWN,404111,0
3481,11,594,13.47,HOMEIMPROVEMENT,0.25,Associate,7,female,RENT,79018,1
3482,2,627,7.51,VENTURE,0.17,Associate,3,female,MORTGAGE,64605,0
3483,2,645,6.62,PERSONAL,0.08,Master,3,female,MORTGAGE,94795,0
3484,3,582,6.76,EDUCATION,0.04,Master,0,female,MORTGAGE,68194,0
3485,22,549,11.89,MEDICAL,0.26,Associate,31,male,RENT,28403,1
3486,15,623,5.99,VENTURE,0.15,Doctorate,15,female,MORTGAGE,120956,0
3487,9,632,9.91,HOMEIMPROVEMENT,0.03,Bachelor,6,male,RENT,73246,0
3488,3,651,15.33,EDUCATION,0.23,Master,3,male,RENT,44068,1
3489,3,668,13.79,VENTURE,0.23,Associate,1,male,RENT,51035,0
3490,5,637,14.27,DEBTCONSOLIDATION,0.17,Bachelor,4,female,RENT,63785,0
3491,3,666,6.17,PERSONAL,0.1,Bachelor,0,male,RENT,72912,0
3492,4,658,16,PERSONAL,0.12,High School,2,male,MORTGAGE,187045,0
3493,8,652,11.01,PERSONAL,0.22,Bachelor,9,male,MORTGAGE,78695,0
3494,4,648,5.92,VENTURE,0.06,Bachelor,0,male,MORTGAGE,165605,0
3495,4,662,11.82,MEDICAL,0.09,High School,5,female,RENT,44748,1
3496,2,598,8.94,MEDICAL,0.09,Bachelor,0,female,MORTGAGE,106613,0
3497,7,660,9.32,PERSONAL,0.05,Bachelor,8,male,MORTGAGE,68104,0
3498,4,638,9.91,EDUCATION,0.17,High School,0,female,RENT,144904,0
3499,16,664,10.59,DEBTCONSOLIDATION,0.18,High School,15,male,RENT,97920,0
3500,9,571,10.2,MEDICAL,0.04,Bachelor,10,female,OWN,51322,0
3501,8,650,9.87,MEDICAL,0.14,Associate,7,female,MORTGAGE,110321,0
3502,2,574,7.88,DEBTCONSOLIDATION,0.24,High School,0,male,MORTGAGE,73441,0
3503,4,590,14.22,PERSONAL,0.31,High School,0,female,RENT,35635,1
3504,6,638,14.59,MEDICAL,0.08,Master,14,female,MORTGAGE,329467,1
3505,4,528,8.72,VENTURE,0.12,Bachelor,4,male,MORTGAGE,60318,0
3506,10,605,9.88,MEDICAL,0.11,High School,5,male,RENT,47104,0
3507,10,548,11.08,MEDICAL,0.04,Associate,2,female,RENT,73579,1
3508,3,663,11.38,EDUCATION,0.04,High School,1,female,MORTGAGE,70795,0
3509,5,626,6.62,VENTURE,0.15,Bachelor,4,male,MORTGAGE,70471,0
3510,4,513,6.91,EDUCATION,0.1,Bachelor,0,male,RENT,73373,0
3511,6,672,5.99,DEBTCONSOLIDATION,0.05,Master,8,female,MORTGAGE,120238,0
3512,10,625,12.5,MEDICAL,0.02,Bachelor,6,female,RENT,140030,1
3513,4,695,17.51,EDUCATION,0.14,Bachelor,0,female,RENT,100690,1
3514,4,624,9.65,VENTURE,0.08,High School,0,male,RENT,72750,0
3515,4,582,10.62,DEBTCONSOLIDATION,0.16,High School,0,female,RENT,82388,0
3516,16,581,18.3,PERSONAL,0.08,Associate,19,female,MORTGAGE,99078,0
3517,7,530,12.73,HOMEIMPROVEMENT,0.09,Master,4,male,RENT,61165,1
3518,2,646,15.27,HOMEIMPROVEMENT,0.09,High School,2,female,RENT,16494,1
3519,3,562,11.36,HOMEIMPROVEMENT,0.17,Bachelor,0,male,OWN,27861,0
3520,15,690,9.99,MEDICAL,0.07,Bachelor,20,female,MORTGAGE,120946,0
3521,7,492,10.99,HOMEIMPROVEMENT,0.08,Bachelor,12,male,RENT,144724,0
3522,3,661,5.42,MEDICAL,0.04,Associate,1,male,MORTGAGE,97148,0
3523,6,681,7.92,PERSONAL,0.17,Bachelor,8,female,RENT,90774,0
3524,11,666,9.57,VENTURE,0.28,Doctorate,9,male,MORTGAGE,49357,0
3525,4,674,11.01,VENTURE,0.16,Associate,2,male,MORTGAGE,61009,0
3526,4,621,7.88,VENTURE,0.06,High School,0,male,RENT,45995,0
3527,2,678,10.74,VENTURE,0.04,Master,3,female,RENT,125079,0
3528,3,515,11.4,DEBTCONSOLIDATION,0.23,High School,1,male,RENT,52217,0
3529,2,525,9.88,MEDICAL,0.07,Bachelor,0,male,MORTGAGE,128257,0
3530,5,671,8.27,PERSONAL,0.36,Associate,11,female,RENT,30932,1
3531,5,689,11.01,MEDICAL,0.09,Associate,4,male,RENT,92036,0
3532,3,640,9.91,PERSONAL,0.1,High School,3,female,RENT,49037,0
3533,6,669,11.49,VENTURE,0.06,Bachelor,12,female,RENT,46569,0
3534,8,631,14.27,VENTURE,0.09,Associate,6,male,RENT,109343,0
3535,16,672,11.12,MEDICAL,0.06,Associate,18,male,RENT,26633,0
3536,2,687,10.59,EDUCATION,0.07,Bachelor,2,female,MORTGAGE,138949,0
3537,10,663,13.23,EDUCATION,0.07,Bachelor,12,male,RENT,63339,0
3538,6,603,10.59,DEBTCONSOLIDATION,0.14,Bachelor,9,male,RENT,51605,0
3539,7,683,14.65,MEDICAL,0.11,Master,6,male,RENT,108458,0
3540,6,691,6.81,PERSONAL,0.07,High School,4,male,RENT,85279,0
3541,2,669,13.11,MEDICAL,0.28,Associate,0,male,RENT,88153,1
3542,6,667,14.06,DEBTCONSOLIDATION,0.2,Bachelor,8,male,RENT,56286,0
3543,10,611,11.01,VENTURE,0.2,High School,5,female,MORTGAGE,64123,0
3544,4,638,5.99,DEBTCONSOLIDATION,0.05,Master,1,female,MORTGAGE,238525,0
3545,10,562,8.87,VENTURE,0.09,Associate,4,male,MORTGAGE,231223,0
3546,8,515,10.99,MEDICAL,0.07,High School,13,female,MORTGAGE,121052,0
3547,3,558,11.99,EDUCATION,0.12,Bachelor,6,female,MORTGAGE,78637,0
3548,4,660,7.14,VENTURE,0.07,Bachelor,0,male,RENT,120991,0
3549,4,729,7.51,EDUCATION,0.24,Bachelor,6,female,RENT,37081,0
3550,4,568,9.46,DEBTCONSOLIDATION,0.04,High School,3,female,MORTGAGE,92888,0
3551,3,573,7.49,DEBTCONSOLIDATION,0.11,Bachelor,0,female,MORTGAGE,64691,0
3552,4,666,11.01,EDUCATION,0.11,High School,1,male,MORTGAGE,85915,0
3553,3,596,11.71,PERSONAL,0.04,High School,0,male,RENT,93675,0
3554,4,654,7.49,EDUCATION,0.13,High School,0,male,MORTGAGE,109037,0
3555,12,685,13.92,MEDICAL,0.19,Master,17,female,OWN,114835,0
3556,4,589,5.42,PERSONAL,0.07,Associate,2,female,MORTGAGE,68128,0
3557,7,663,12.15,HOMEIMPROVEMENT,0.13,Bachelor,9,female,MORTGAGE,90710,0
3558,5,578,10.92,EDUCATION,0.25,Bachelor,2,female,RENT,66890,1
3559,3,653,11.01,VENTURE,0.24,High School,0,male,RENT,28670,1
3560,6,640,8.94,VENTURE,0.22,Associate,9,female,OWN,46434,0
3561,4,556,10.07,DEBTCONSOLIDATION,0.16,Master,0,male,MORTGAGE,114949,0
3562,4,658,13.49,PERSONAL,0.06,Master,3,male,RENT,78986,0
3563,4,615,16,VENTURE,0.25,Bachelor,3,female,RENT,43848,0
3564,10,626,14.22,MEDICAL,0.21,Master,8,male,RENT,72573,0
3565,6,672,13.11,VENTURE,0.06,Master,4,male,RENT,30992,0
3566,7,638,7.51,DEBTCONSOLIDATION,0.27,Associate,11,male,RENT,43966,1
3567,9,641,6.17,DEBTCONSOLIDATION,0.12,Bachelor,0,male,MORTGAGE,54772,0
3568,3,660,6.54,HOMEIMPROVEMENT,0.04,Associate,5,male,MORTGAGE,103117,0
3569,9,673,12.87,HOMEIMPROVEMENT,0.04,Associate,5,female,MORTGAGE,130612,0
3570,10,673,11.03,MEDICAL,0.43,Associate,7,male,OWN,25859,0
3571,7,636,15.33,PERSONAL,0.13,Associate,4,male,RENT,76766,0
3572,7,656,7.51,VENTURE,0.25,Master,10,male,RENT,33078,1
3573,3,654,10.37,EDUCATION,0.08,Associate,4,male,RENT,60987,0
3574,4,677,16.35,MEDICAL,0.21,Associate,1,female,RENT,76583,1
3575,11,738,9.11,EDUCATION,0.16,Master,10,male,RENT,29970,0
3576,10,576,15.62,VENTURE,0.3,Bachelor,13,female,RENT,73143,1
3577,2,671,10.59,HOMEIMPROVEMENT,0.11,Master,0,male,RENT,63385,0
3578,9,623,11.83,VENTURE,0.12,High School,17,male,OWN,193124,0
3579,10,657,12.71,MEDICAL,0.08,Doctorate,12,male,RENT,45737,0
3580,6,614,10.65,MEDICAL,0.23,Associate,4,female,OWN,42884,0
3581,3,557,10.75,VENTURE,0.18,Associate,1,female,RENT,61014,0
3582,2,550,13.23,EDUCATION,0.29,High School,1,male,RENT,27589,1
3583,3,529,14.11,DEBTCONSOLIDATION,0.01,High School,1,male,MORTGAGE,84830,0
3584,9,621,14.54,PERSONAL,0.01,Associate,8,female,RENT,195574,1
3585,8,651,12.42,MEDICAL,0.04,High School,6,female,RENT,121110,0
3586,4,616,8.52,EDUCATION,0.02,Bachelor,0,female,MORTGAGE,105243,0
3587,10,674,7.9,VENTURE,0.04,Bachelor,9,female,MORTGAGE,99895,0
3588,11,622,5.99,MEDICAL,0.07,Associate,15,female,MORTGAGE,80678,0
3589,3,547,14.35,EDUCATION,0.19,Bachelor,0,male,OWN,85140,0
3590,3,647,11.27,EDUCATION,0.33,Bachelor,3,female,MORTGAGE,76442,0
3591,6,669,14.22,PERSONAL,0.16,Bachelor,6,female,RENT,73067,0
3592,2,598,11.99,VENTURE,0.06,Bachelor,2,male,MORTGAGE,217134,0
3593,2,609,14.27,VENTURE,0.05,Bachelor,5,female,MORTGAGE,188190,0
